COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Nauru";NR;NRU;157;"Aiwo";District;"01";15642
"Nauru";NR;NRU;157;"Anabar";District;"02";15637
"Nauru";NR;NRU;157;"Anetan";District;"03";15643
"Nauru";NR;NRU;157;"Anibare";District;"04";15641
"Nauru";NR;NRU;157;"Baiti";District;"05";15647
"Nauru";NR;NRU;157;"Boe";District;"06";15644
"Nauru";NR;NRU;157;"Buada";District;"07";15640
"Nauru";NR;NRU;157;"Denigomodu";District;"08";15648
"Nauru";NR;NRU;157;"Ewa";District;"09";15645
"Nauru";NR;NRU;157;"Ijuw";District;"10";15639
"Nauru";NR;NRU;157;"Meneng";District;"11";15646
"Nauru";NR;NRU;157;"Nibok";District;"12";15636
"Nauru";NR;NRU;157;"Uaboe";District;"13";15638
"Nauru";NR;NRU;157;"Yaren";District;"14";15635
