COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Poland";PL;POL;183;"Dolnoslaskie";Voivodship;"DS";17731
"Poland";PL;POL;183;"Kujawsko-pomorskie";Voivodship;"KP";17732
"Poland";PL;POL;183;"Lubelskie";Voivodship;"LU";17733
"Poland";PL;POL;183;"Lubuskie";Voivodship;"LB";17740
"Poland";PL;POL;183;"Lódzkie";Voivodship;"LD";17734
"Poland";PL;POL;183;"Malopolskie";Voivodship;"MA";17744
"Poland";PL;POL;183;"Mazowieckie";Voivodship;"MZ";17735
"Poland";PL;POL;183;"Opolskie";Voivodship;"OP";17743
"Poland";PL;POL;183;"Podkarpackie";Voivodship;"PK";17736
"Poland";PL;POL;183;"Podlaskie";Voivodship;"PD";17742
"Poland";PL;POL;183;"Pomorskie";Voivodship;"PM";17737
"Poland";PL;POL;183;"Slaskie";Voivodship;"SL";17745
"Poland";PL;POL;183;"Swietokrzyskie";Voivodship;"SK";17738
"Poland";PL;POL;183;"Warminsko-mazurskie";Voivodship;"WN";17741
"Poland";PL;POL;183;"Wielkopolskie";Voivodship;"WP";17739
"Poland";PL;POL;183;"Zachodniopomorskie";Voivodship;"ZP";17730
