COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Occupied Palestinian Territory";PS;PSE;173;"Bethlehem Bayt Laḩm";governorates;"BTH";48863
"Occupied Palestinian Territory";PS;PSE;173;"Deir El Balah Dayr al Balaḩ";governorates;"DEB";48864
"Occupied Palestinian Territory";PS;PSE;173;"Gaza Ghazzah";governorates;"GZA";48865
"Occupied Palestinian Territory";PS;PSE;173;"Hebron Al Khalīl";governorates;"HBN";48866
"Occupied Palestinian Territory";PS;PSE;173;"Jenin Janīn";governorates;"JEN";48867
"Occupied Palestinian Territory";PS;PSE;173;"Jericho – Al Aghwar Arīḩā wa al Aghwār";governorates;"JRH";48868
"Occupied Palestinian Territory";PS;PSE;173;"Jerusalem Al Quds";governorates;"JEM";48869
"Occupied Palestinian Territory";PS;PSE;173;"Khan Yunis Khān Yūnis";governorates;"KYS";48870
"Occupied Palestinian Territory";PS;PSE;173;"Nablus Nāblus";governorates;"NBS";48871
"Occupied Palestinian Territory";PS;PSE;173;"North Gaza Shamāl Ghazzah";governorates;"NGZ";48872
"Occupied Palestinian Territory";PS;PSE;173;"Qalqilya Qalqīlyah";governorates;"QQA";48873
"Occupied Palestinian Territory";PS;PSE;173;"Rafah Rafaḩ";governorates;"RFH";48874
"Occupied Palestinian Territory";PS;PSE;173;"Ramallah Rām Allāh wa al Bīrah";governorates;"RBH";48875
"Occupied Palestinian Territory";PS;PSE;173;"Salfit Salfīt";governorates;"SLT";48876
"Occupied Palestinian Territory";PS;PSE;173;"Tubas Ţūbās";governorates;"TBS";48877
"Occupied Palestinian Territory";PS;PSE;173;"Tulkarm Ţūlkarm";governorates;"TKM";48878
