COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Palau";PW;PLW;172;"Aimeliik";State;"002";15887
"Palau";PW;PLW;172;"Airai";State;"004";15898
"Palau";PW;PLW;172;"Angaur";State;"010";15889
"Palau";PW;PLW;172;"Hatobohei";State;"050";15886
"Palau";PW;PLW;172;"Kayangel";State;"100";15890
"Palau";PW;PLW;172;"Koror";State;"150";15891
"Palau";PW;PLW;172;"Melekeok";State;"212";15888
"Palau";PW;PLW;172;"Ngaraard";State;"214";15892
"Palau";PW;PLW;172;"Ngarchelong";State;"218";15899
"Palau";PW;PLW;172;"Ngardmau";State;"222";15893
"Palau";PW;PLW;172;"Ngatpang";State;"224";15894
"Palau";PW;PLW;172;"Ngchesar";State;"226";15895
"Palau";PW;PLW;172;"Ngeremlengui";State;"227";15885
"Palau";PW;PLW;172;"Ngiwal";State;"228";15896
"Palau";PW;PLW;172;"Peleliu";State;"350";15897
"Palau";PW;PLW;172;"Sonsorol";State;"370";15884
