COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Paraguay";PY;PRY;177;"Alto Paraguay";department;"16";15963
"Paraguay";PY;PRY;177;"Alto Paraná";department;"10";15964
"Paraguay";PY;PRY;177;"Amambay";department;"13";15965
"Paraguay";PY;PRY;177;"Asunción";capital;"ASU";15954
"Paraguay";PY;PRY;177;"Boquerón";department;"19";15953
"Paraguay";PY;PRY;177;"Caaguazú";department;"5";15955
"Paraguay";PY;PRY;177;"Caazapá";department;"6";15966
"Paraguay";PY;PRY;177;"Canindeyú";department;"14";15956
"Paraguay";PY;PRY;177;"Central";department;"11";15952
"Paraguay";PY;PRY;177;"Concepción";department;"1";15957
"Paraguay";PY;PRY;177;"Cordillera";department;"3";15958
"Paraguay";PY;PRY;177;"Guairá";department;"4";15967
"Paraguay";PY;PRY;177;"Itapúa";department;"7";15959
"Paraguay";PY;PRY;177;"Misiones";department;"8";15968
"Paraguay";PY;PRY;177;"Paraguarí";department;"9";15951
"Paraguay";PY;PRY;177;"Presidente Hayes";department;"15";15961
"Paraguay";PY;PRY;177;"San Pedro";department;"2";15962
"Paraguay";PY;PRY;177;"Ñeembucú";department;"12";15960
