COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Romania";RO;ROU;189;"Alba";County;"AB";17794
"Romania";RO;ROU;189;"Arad";County;"AR";17795
"Romania";RO;ROU;189;"Arges";County;"AG";17796
"Romania";RO;ROU;189;"Bacau";County;"BC";17797
"Romania";RO;ROU;189;"Bihor";County;"BH";17798
"Romania";RO;ROU;189;"Bistrita-Nasaud";County;"BN";17799
"Romania";RO;ROU;189;"Botosani";County;"BT";17800
"Romania";RO;ROU;189;"Braila";County;"BR";17801
"Romania";RO;ROU;189;"Brasov";County;"BV";17783
"Romania";RO;ROU;189;"Bucuresti";City;"B";17802
"Romania";RO;ROU;189;"Buzau";County;"BZ";17784
"Romania";RO;ROU;189;"Calarasi";County;"CL";17803
"Romania";RO;ROU;189;"Caras-Severin";County;"CS";17785
"Romania";RO;ROU;189;"Cluj";County;"CJ";17804
"Romania";RO;ROU;189;"Constanta";County;"CT";17786
"Romania";RO;ROU;189;"Covasna";County;"CV";17805
"Romania";RO;ROU;189;"Dolj";County;"DJ";17788
"Romania";RO;ROU;189;"Dâmbovita";County;"DB";17787
"Romania";RO;ROU;189;"Galati";County;"GL";17806
"Romania";RO;ROU;189;"Giurgiu";County;"GR";17789
"Romania";RO;ROU;189;"Gorj";County;"GJ";17790
"Romania";RO;ROU;189;"Harghita";County;"HR";17807
"Romania";RO;ROU;189;"Hunedoara";County;"HD";17791
"Romania";RO;ROU;189;"Ialomita";County;"IL";17782
"Romania";RO;ROU;189;"Iasi";County;"IS";17792
"Romania";RO;ROU;189;"Ilfov";County;"IF";17817
"Romania";RO;ROU;189;"Maramures";County;"MM";17793
"Romania";RO;ROU;189;"Mehedinti";County;"MH";17808
"Romania";RO;ROU;189;"Mures";County;"MS";17821
"Romania";RO;ROU;189;"Neamt";County;"NT";17809
"Romania";RO;ROU;189;"Olt";County;"OT";17820
"Romania";RO;ROU;189;"Prahova";County;"PH";17810
"Romania";RO;ROU;189;"Salaj";County;"SJ";17811
"Romania";RO;ROU;189;"Satu Mare";County;"SM";17819
"Romania";RO;ROU;189;"Sibiu";County;"SB";17812
"Romania";RO;ROU;189;"Suceava";County;"SV";17813
"Romania";RO;ROU;189;"Teleorman";County;"TR";17822
"Romania";RO;ROU;189;"Timis";County;"TM";17814
"Romania";RO;ROU;189;"Tulcea";County;"TL";17815
"Romania";RO;ROU;189;"Vaslui";County;"VS";17816
"Romania";RO;ROU;189;"Vrancea";County;"VN";17781
"Romania";RO;ROU;189;"Vâlcea";County;"VL";17818
