COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Russian Federation";RU;RUS;190;"Respublika Adygeya";republic;"AD";17879
"Russian Federation";RU;RUS;190;"Aginskiy Buryatskiy avtonomnyy okrug";autonomous district;"AGB";17880
"Russian Federation";RU;RUS;190;"Respublika Altay";republic;"AL";17857
"Russian Federation";RU;RUS;190;"Altayskiy kray";administrative territory;"ALT";17881
"Russian Federation";RU;RUS;190;"Amurskaya oblast'";administrative region;"AMU";17882
"Russian Federation";RU;RUS;190;"Arkhangel'skaya oblast'";administrative region;"ARK";17853
"Russian Federation";RU;RUS;190;"Astrakhanskaya oblast'";administrative region;"AST";17883
"Russian Federation";RU;RUS;190;"Respublika Bashkortostan";republic;"BA";17884
"Russian Federation";RU;RUS;190;"Belgorodskaya oblast'";administrative region;"BEL";17854
"Russian Federation";RU;RUS;190;"Bryanskaya oblast'";administrative region;"BRY";17885
"Russian Federation";RU;RUS;190;"Respublika Buryatiya";republic;"BU";17886
"Russian Federation";RU;RUS;190;"Chechenskaya Respublika";republic;"CE";17855
"Russian Federation";RU;RUS;190;"Chelyabinskaya oblast'";administrative region;"CHE";17887
"Russian Federation";RU;RUS;190;"Chitinskaya oblast'";administrative region;"CHI";17888
"Russian Federation";RU;RUS;190;"Chukotskiy avtonomnyy okrug";autonomous district;"CHU";17889
"Russian Federation";RU;RUS;190;"Chuvashskaya Respublika";republic;"CU";17856
"Russian Federation";RU;RUS;190;"Respublika Dagestan";republic;"DA";17890
"Russian Federation";RU;RUS;190;"Evenkiyskiy avtonomnyy okrug";autonomous district;"EVE";17891
"Russian Federation";RU;RUS;190;"Ingushskaya Respublika [Respublika Ingushetiya]";republic;"IN";17894
"Russian Federation";RU;RUS;190;"Irkutskaya oblast'";administrative region;"IRK";17895
"Russian Federation";RU;RUS;190;"Ivanovskaya oblast'";administrative region;"IVA";17859
