COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Seychelles";SC;SYC;202;"Anse aux Pins";District;"01";18014
"Seychelles";SC;SYC;202;"Anse Boileau";District;"02";18017
"Seychelles";SC;SYC;202;"Anse Royale";District;"05";18015
"Seychelles";SC;SYC;202;"Anse Étoile";District;"03";18018
"Seychelles";SC;SYC;202;"Au Cap";District;"04";18019
"Seychelles";SC;SYC;202;"Baie Lazare";District;"06";18006
"Seychelles";SC;SYC;202;"Baie Sainte Anne";District;"07";18020
"Seychelles";SC;SYC;202;"Beau Vallon";District;"08";18021
"Seychelles";SC;SYC;202;"Bel Air";District;"09";18025
"Seychelles";SC;SYC;202;"Bel Ombre";District;"10";18022
"Seychelles";SC;SYC;202;"Cascade";District;"11";18029
"Seychelles";SC;SYC;202;"English River";District;"16";18023
"Seychelles";SC;SYC;202;"Glacis";District;"12";18024
"Seychelles";SC;SYC;202;"Grand Anse Mahe";District;"13";18028
"Seychelles";SC;SYC;202;"Grand Anse Praslin";District;"14";18007
"Seychelles";SC;SYC;202;"La Digue";District;"15";18027
"Seychelles";SC;SYC;202;"Les Mamelles";District;"24";48216
"Seychelles";SC;SYC;202;"Mont Buxton";District;"17";18009
"Seychelles";SC;SYC;202;"Mont Fleuri";District;"18";18030
"Seychelles";SC;SYC;202;"Plaisance";District;"19";18026
"Seychelles";SC;SYC;202;"Pointe La Rue";District;"20";18011
"Seychelles";SC;SYC;202;"Port Glaud";District;"21";18012
"Seychelles";SC;SYC;202;"Roche Caiman";District;"25";48217
"Seychelles";SC;SYC;202;"Saint Louis";District;"22";18013
"Seychelles";SC;SYC;202;"Takamaka";District;"23";18005
