COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Sudan";SD;SDN;214;"A?ali an Nil";State;"23";18194
"Sudan";SD;SDN;214;"Al Ba?r al A?mar";State;"26";48711
"Sudan";SD;SDN;214;"Al Bah¸r al Ah¸mar";State;"RS";18206
"Sudan";SD;SDN;214;"Al Bu?ayrat";State;"18";18207
"Sudan";SD;SDN;214;"Al Jazirah";State;"07";48712
"Sudan";SD;SDN;214;"Al Jazirah";State;"GZ";18193
"Sudan";SD;SDN;214;"Al Khartum";State;"KH";18197
"Sudan";SD;SDN;214;"Al Khartum";State;"03";48713
"Sudan";SD;SDN;214;"Al Qa?arif";State;"06";48714
"Sudan";SD;SDN;214;"Al Qaḑārif";State;"GD";18189
"Sudan";SD;SDN;214;"Al Wa?dah";State;"22";18187
"Sudan";SD;SDN;214;"An Nil";State;"04";48715
"Sudan";SD;SDN;214;"An Nil";State;"NR";18200
"Sudan";SD;SDN;214;"An Nil al Azraq";State;"NB";18201
"Sudan";SD;SDN;214;"An Nil al Azraq";State;"24";48717
"Sudan";SD;SDN;214;"An Nīl al Abyaḑ";State;"NW";18192
"Sudan";SD;SDN;214;"An Nīl al Abyaḑ";State;"08";48716
"Sudan";SD;SDN;214;"Ash Shamaliyah";State;"01";48718
"Sudan";SD;SDN;214;"Ash Shamaliyah";State;"NO";18190
"Sudan";SD;SDN;214;"Bahr al Jabal";State;"17";18195
"Sudan";SD;SDN;214;"Gharb al Istiwa'iyah";State;"16";18208
"Sudan";SD;SDN;214;"Gharb Ba?r al Ghazal";State;"14";18196
"Sudan";SD;SDN;214;"Gharb Darfur";State;"DW";18209
"Sudan";SD;SDN;214;"Gharb Darfur";State;"12";48719
"Sudan";SD;SDN;214;"Gharb Kurdufan";;"10";18210
"Sudan";SD;SDN;214;"Janub Darfur";State;"11";48720
"Sudan";SD;SDN;214;"Janub Darfur";State;"DS";18211
"Sudan";SD;SDN;214;"Janub Kurdufan";State;"KS";18198
"Sudan";SD;SDN;214;"Janub Kurdufan";State;"13";48721
"Sudan";SD;SDN;214;"Junqali";State;"20";18199
"Sudan";SD;SDN;214;"Kassala";State;"KA";18212
"Sudan";SD;SDN;214;"Kassala";State;"05";48722
"Sudan";SD;SDN;214;"Shamal Ba?r al Ghazal";State;"15";18188
"Sudan";SD;SDN;214;"Shamal Darfur";State;"DN";18202
"Sudan";SD;SDN;214;"Shamal Darfur";State;"02";48723
"Sudan";SD;SDN;214;"Shamal Kurdufan";State;"09";48724
"Sudan";SD;SDN;214;"Shamal Kurdufan";State;"KN";18203
"Sudan";SD;SDN;214;"Sharq al Istiwa'iyah";State;"19";18191
"Sudan";SD;SDN;214;"Sharq Dārfūr";;"DE";48726
"Sudan";SD;SDN;214;"Sinnar";State;"25";48725
"Sudan";SD;SDN;214;"Sinnar";State;"SI";18204
"Sudan";SD;SDN;214;"Warab";State;"21";18205
"Sudan";SD;SDN;214;"Zalingei";;"DC";48727
