COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Somalia";SO;SOM;209;"Awdal";Region;"AW";18093
"Somalia";SO;SOM;209;"Bakool";Region;"BK";18094
"Somalia";SO;SOM;209;"Banaadir";Region;"BN";18098
"Somalia";SO;SOM;209;"Bari";Region;"BR";18095
"Somalia";SO;SOM;209;"Bay";Region;"BY";18097
"Somalia";SO;SOM;209;"Galguduud";Region;"GA";18084
"Somalia";SO;SOM;209;"Gedo";Region;"GE";18085
"Somalia";SO;SOM;209;"Hiiraan";Region;"HI";18099
"Somalia";SO;SOM;209;"Jubbada Dhexe";Region;"JD";18086
"Somalia";SO;SOM;209;"Jubbada Hoose";Region;"JH";18087
"Somalia";SO;SOM;209;"Mudug";Region;"MU";18096
"Somalia";SO;SOM;209;"Nugaal";Region;"NU";18088
"Somalia";SO;SOM;209;"Sanaag";Region;"SA";18090
"Somalia";SO;SOM;209;"Shabeellaha Dhexe";Region;"SD";18100
"Somalia";SO;SOM;209;"Shabeellaha Hoose";Region;"SH";18089
"Somalia";SO;SOM;209;"Sool";Region;"SO";18083
"Somalia";SO;SOM;209;"Togdheer";Region;"TO";18091
"Somalia";SO;SOM;209;"Woqooyi Galbeed";Region;"WO";18092
