COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Thailand";TH;THA;224;"Amnat Charoen";province;"37";18402
"Thailand";TH;THA;224;"Ang Thong";province;"15";18403
"Thailand";TH;THA;224;"Buri Ram";province;"31";18421
"Thailand";TH;THA;224;"Chachoengsao";province;"24";18404
"Thailand";TH;THA;224;"Chai Nat";province;"18";18422
"Thailand";TH;THA;224;"Chaiyaphum";province;"36";18393
"Thailand";TH;THA;224;"Chanthaburi";province;"22";18394
"Thailand";TH;THA;224;"Chiang Mai";province;"50";18423
"Thailand";TH;THA;224;"Chiang Rai";province;"57";18395
"Thailand";TH;THA;224;"Chon Buri";province;"20";18424
"Thailand";TH;THA;224;"Chumphon";province;"86";18396
"Thailand";TH;THA;224;"Kalasin";province;"46";18425
"Thailand";TH;THA;224;"Kamphaeng Phet";province;"62";18397
"Thailand";TH;THA;224;"Kanchanaburi";province;"71";18398
"Thailand";TH;THA;224;"Khon Kaen";province;"40";18426
"Thailand";TH;THA;224;"Krabi";province;"81";18399
"Thailand";TH;THA;224;"Krung Thep Maha Nakhon [Bangkok]";metropolitan administration;"10";18427
"Thailand";TH;THA;224;"Lampang";province;"52";18400
"Thailand";TH;THA;224;"Lamphun";province;"51";18401
"Thailand";TH;THA;224;"Loei";province;"42";18366
"Thailand";TH;THA;224;"Lop Buri";province;"16";18405
"Thailand";TH;THA;224;"Mae Hong Son";province;"58";18406
"Thailand";TH;THA;224;"Maha Sarakham";province;"44";18367
"Thailand";TH;THA;224;"Mukdahan";province;"49";18407
"Thailand";TH;THA;224;"Nakhon Nayok";province;"26";18368
"Thailand";TH;THA;224;"Nakhon Pathom";province;"73";18408
"Thailand";TH;THA;224;"Nakhon Phanom";province;"48";18409
"Thailand";TH;THA;224;"Nakhon Ratchasima";province;"30";18369
"Thailand";TH;THA;224;"Nakhon Sawan";province;"60";18410
"Thailand";TH;THA;224;"Nakhon Si Thammarat";province;"80";18370
"Thailand";TH;THA;224;"Nan";province;"55";18411
"Thailand";TH;THA;224;"Narathiwat";province;"96";18412
"Thailand";TH;THA;224;"Nong Bua Lam Phu";province;"39";18371
"Thailand";TH;THA;224;"Nong Khai";province;"43";18384
"Thailand";TH;THA;224;"Nonthaburi";province;"12";18372
"Thailand";TH;THA;224;"Pathum Thani";province;"13";18385
"Thailand";TH;THA;224;"Pattani";province;"94";18386
"Thailand";TH;THA;224;"Phangnga";province;"82";18373
"Thailand";TH;THA;224;"Phatthalung";province;"93";18387
"Thailand";TH;THA;224;"Phatthaya";special administrative city;"S";20407
"Thailand";TH;THA;224;"Phayao";province;"56";18374
"Thailand";TH;THA;224;"Phetchabun";province;"67";18388
"Thailand";TH;THA;224;"Phetchaburi";province;"76";18389
"Thailand";TH;THA;224;"Phichit";province;"66";18357
"Thailand";TH;THA;224;"Phitsanulok";province;"65";18390
"Thailand";TH;THA;224;"Phra Nakhon Si Ayutthaya";province;"14";18358
"Thailand";TH;THA;224;"Phrae";province;"54";18391
"Thailand";TH;THA;224;"Phuket";province;"83";18392
"Thailand";TH;THA;224;"Prachin Buri";province;"25";18359
"Thailand";TH;THA;224;"Prachuap Khiri Khan";province;"77";18413
"Thailand";TH;THA;224;"Ranong";province;"85";18414
"Thailand";TH;THA;224;"Ratchaburi";province;"70";18360
"Thailand";TH;THA;224;"Rayong";province;"21";18415
"Thailand";TH;THA;224;"Roi Et";province;"45";18361
"Thailand";TH;THA;224;"Sa Kaeo";province;"27";18416
"Thailand";TH;THA;224;"Sakon Nakhon";province;"47";18417
"Thailand";TH;THA;224;"Samut Prakan";province;"11";18362
"Thailand";TH;THA;224;"Samut Sakhon";province;"74";18418
"Thailand";TH;THA;224;"Samut Songkhram";province;"75";18363
"Thailand";TH;THA;224;"Saraburi";province;"19";18419
"Thailand";TH;THA;224;"Satun";province;"91";18420
"Thailand";TH;THA;224;"Si Sa Ket";province;"33";18375
"Thailand";TH;THA;224;"Sing Buri";province;"17";18364
"Thailand";TH;THA;224;"Songkhla";province;"90";18376
"Thailand";TH;THA;224;"Sukhothai";province;"64";18365
"Thailand";TH;THA;224;"Suphan Buri";province;"72";18377
"Thailand";TH;THA;224;"Surat Thani";province;"84";18356
"Thailand";TH;THA;224;"Surin";province;"32";18378
"Thailand";TH;THA;224;"Tak";province;"63";18379
"Thailand";TH;THA;224;"Trang";province;"92";18428
"Thailand";TH;THA;224;"Trat";province;"23";18380
"Thailand";TH;THA;224;"Ubon Ratchathani";province;"34";18381
"Thailand";TH;THA;224;"Udon Thani";province;"41";18430
"Thailand";TH;THA;224;"Uthai Thani";province;"61";18382
"Thailand";TH;THA;224;"Uttaradit";province;"53";18429
"Thailand";TH;THA;224;"Yala";province;"95";18383
"Thailand";TH;THA;224;"Yasothon";province;"35";18355
