COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Timor-Leste";TL;TLS;226;"Aileu";District;"AL";13554
"Timor-Leste";TL;TLS;226;"Ainaro";District;"AN";13553
"Timor-Leste";TL;TLS;226;"Baucau";District;"BA";13562
"Timor-Leste";TL;TLS;226;"Bobonaro";District;"BO";13556
"Timor-Leste";TL;TLS;226;"Cova Lima";District;"CO";13557
"Timor-Leste";TL;TLS;226;"Díli";District;"DI";13564
"Timor-Leste";TL;TLS;226;"Ermera";District;"ER";13558
"Timor-Leste";TL;TLS;226;"Lautem";District;"LA";13563
"Timor-Leste";TL;TLS;226;"Liquiça";District;"LI";13559
"Timor-Leste";TL;TLS;226;"Manatuto";District;"MT";13560
"Timor-Leste";TL;TLS;226;"Manufahi";District;"MF";13552
"Timor-Leste";TL;TLS;226;"Oecussi";District;"OE";13555
"Timor-Leste";TL;TLS;226;"Viqueque";District;"VI";13561
