COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Tunisia";TN;TUN;231;"Ariana";Governorate;"12";18463
"Tunisia";TN;TUN;231;"Ben Arous";Governorate;"13";18464
"Tunisia";TN;TUN;231;"Bizerte";Governorate;"23";18470
"Tunisia";TN;TUN;231;"Béja";Governorate;"31";18469
"Tunisia";TN;TUN;231;"Gabès";Governorate;"81";18474
"Tunisia";TN;TUN;231;"Gafsa";Governorate;"71";18475
"Tunisia";TN;TUN;231;"Jendouba";Governorate;"32";18465
"Tunisia";TN;TUN;231;"Kairouan";Governorate;"41";18477
"Tunisia";TN;TUN;231;"Kasserine";Governorate;"42";18476
"Tunisia";TN;TUN;231;"Kebili";Governorate;"73";18478
"Tunisia";TN;TUN;231;"La Manouba";Governorate;"14";18467
"Tunisia";TN;TUN;231;"Le Kef";Governorate;"33";18471
"Tunisia";TN;TUN;231;"Mahdia";Governorate;"53";18472
"Tunisia";TN;TUN;231;"Medenine";Governorate;"82";18466
"Tunisia";TN;TUN;231;"Monastir";Governorate;"52";18473
"Tunisia";TN;TUN;231;"Nabeul";Governorate;"21";18468
"Tunisia";TN;TUN;231;"Sfax";Governorate;"61";18462
"Tunisia";TN;TUN;231;"Sidi Bouzid";Governorate;"43";18479
"Tunisia";TN;TUN;231;"Siliana";Governorate;"34";18461
"Tunisia";TN;TUN;231;"Sousse";Governorate;"51";18480
"Tunisia";TN;TUN;231;"Tataouine";Governorate;"83";18460
"Tunisia";TN;TUN;231;"Tozeur";Governorate;"72";18481
"Tunisia";TN;TUN;231;"Tunis";Governorate;"11";18482
"Tunisia";TN;TUN;231;"Zaghouan";Governorate;"22";18459
