COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Trinidad and Tobago";TT;TTO;230;"Arima";municipality;"ARI";18446
"Trinidad and Tobago";TT;TTO;230;"Chaguanas";municipality;"CHA";18456
"Trinidad and Tobago";TT;TTO;230;"Couva-Tabaquite-Talparo";region;"CTT";18447
"Trinidad and Tobago";TT;TTO;230;"Diego Martin";region;"DMN";18448
"Trinidad and Tobago";TT;TTO;230;"Eastern Tobago";region;"ETO";20483
"Trinidad and Tobago";TT;TTO;230;"Penal-Debe";region;"PED";18449
"Trinidad and Tobago";TT;TTO;230;"Point Fortin";municipality;"PTF";18457
"Trinidad and Tobago";TT;TTO;230;"Port of Spain";municipality;"POS";18450
"Trinidad and Tobago";TT;TTO;230;"Princes Town";region;"PRT";18445
"Trinidad and Tobago";TT;TTO;230;"Rio Claro-Mayaro";region;"RCM";18455
"Trinidad and Tobago";TT;TTO;230;"San Fernando";municipality;"SFO";18451
"Trinidad and Tobago";TT;TTO;230;"San Juan-Laventille";region;"SJL";18452
"Trinidad and Tobago";TT;TTO;230;"Sangre Grande";region;"SGE";18458
"Trinidad and Tobago";TT;TTO;230;"Siparia";region;"SIP";18453
"Trinidad and Tobago";TT;TTO;230;"Tunapuna-Piarco";region;"TUP";18454
"Trinidad and Tobago";TT;TTO;230;"Western Tobago";region;"WTO";20488
