COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Uganda";UG;UGA;236;"Abim";District;"317";48102
"Uganda";UG;UGA;236;"Adjumani";District;"301";20547
"Uganda";UG;UGA;236;"Amolatar";District;"314";48103
"Uganda";UG;UGA;236;"Amuria";District;"216";48104
"Uganda";UG;UGA;236;"Amuru";District;"319";48105
"Uganda";UG;UGA;236;"Apac";District;"302";20548
"Uganda";UG;UGA;236;"Arua";District;"303";20549
"Uganda";UG;UGA;236;"Budaka";District;"217";48106
"Uganda";UG;UGA;236;"Bududa";District;"223";48122
"Uganda";UG;UGA;236;"Bugiri";District;"201";20532
"Uganda";UG;UGA;236;"Bukedea";District;"224";48121
"Uganda";UG;UGA;236;"Bukwa";District;"218";48107
"Uganda";UG;UGA;236;"Buliisa";District;"419";48124
"Uganda";UG;UGA;236;"Bundibugyo";District;"401";20560
"Uganda";UG;UGA;236;"Bushenyi";District;"402";20561
"Uganda";UG;UGA;236;"Busia";District;"202";20533
"Uganda";UG;UGA;236;"Butaleja";District;"219";48108
"Uganda";UG;UGA;236;"Central";geographic regions;"C";48541
"Uganda";UG;UGA;236;"Dokolo";District;"318";48109
"Uganda";UG;UGA;236;"Eastern";geographic regions;"E";48542
"Uganda";UG;UGA;236;"Gulu";District;"304";20550
"Uganda";UG;UGA;236;"Hoima";District;"403";20562
"Uganda";UG;UGA;236;"Ibanda";District;"416";48110
"Uganda";UG;UGA;236;"Iganga";District;"203";20534
"Uganda";UG;UGA;236;"Isingiro";District;"417";48111
"Uganda";UG;UGA;236;"Jinja";District;"204";20535
"Uganda";UG;UGA;236;"Kaabong";District;"315";48112
"Uganda";UG;UGA;236;"Kabale";District;"404";20563
"Uganda";UG;UGA;236;"Kabarole";District;"405";20564
"Uganda";UG;UGA;236;"Kaberamaido";District;"213";20544
"Uganda";UG;UGA;236;"Kalangala";District;"101";20519
"Uganda";UG;UGA;236;"Kaliro";District;"220";48113
"Uganda";UG;UGA;236;"Kampala";District;"102";20520
"Uganda";UG;UGA;236;"Kamuli";District;"205";20536
"Uganda";UG;UGA;236;"Kamwenge";District;"413";20572
"Uganda";UG;UGA;236;"Kanungu";District;"414";20573
"Uganda";UG;UGA;236;"Kapchorwa";District;"206";20537
"Uganda";UG;UGA;236;"Kasese";District;"406";20565
"Uganda";UG;UGA;236;"Katakwi";District;"207";20538
"Uganda";UG;UGA;236;"Kayunga";District;"112";20530
"Uganda";UG;UGA;236;"Kibaale";District;"407";20566
"Uganda";UG;UGA;236;"Kiboga";District;"103";20521
"Uganda";UG;UGA;236;"Kiruhura";District;"418";48114
"Uganda";UG;UGA;236;"Kisoro";District;"408";20567
"Uganda";UG;UGA;236;"Kitgum";District;"305";20551
"Uganda";UG;UGA;236;"Koboko";District;"316";48115
"Uganda";UG;UGA;236;"Kotido";District;"306";20552
"Uganda";UG;UGA;236;"Kumi";District;"208";20539
"Uganda";UG;UGA;236;"Kyenjojo";District;"415";20574
"Uganda";UG;UGA;236;"Lira";District;"307";20553
"Uganda";UG;UGA;236;"Luwero";District;"104";20522
"Uganda";UG;UGA;236;"Lyantonde";District;"116";48123
"Uganda";UG;UGA;236;"Manafwa";District;"221";48116
"Uganda";UG;UGA;236;"Maracha";District;"320";48117
"Uganda";UG;UGA;236;"Masaka";District;"105";20523
"Uganda";UG;UGA;236;"Masindi";District;"409";20568
"Uganda";UG;UGA;236;"Mayuge";District;"214";20545
"Uganda";UG;UGA;236;"Mbale";District;"209";20540
"Uganda";UG;UGA;236;"Mbarara";District;"410";20569
"Uganda";UG;UGA;236;"Mityana";District;"114";48125
"Uganda";UG;UGA;236;"Moroto";District;"308";20554
"Uganda";UG;UGA;236;"Moyo";District;"309";20555
"Uganda";UG;UGA;236;"Mpigi";District;"106";20524
"Uganda";UG;UGA;236;"Mubende";District;"107";20525
"Uganda";UG;UGA;236;"Mukono";District;"108";20526
"Uganda";UG;UGA;236;"Nakapiripirit";District;"311";20557
"Uganda";UG;UGA;236;"Nakaseke";District;"115";48118
"Uganda";UG;UGA;236;"Nakasongola";District;"109";20527
"Uganda";UG;UGA;236;"Namutumba";District;"222";48119
"Uganda";UG;UGA;236;"Nebbi";District;"310";20556
"Uganda";UG;UGA;236;"Northern";geographic regions;"N";48543
"Uganda";UG;UGA;236;"Ntungamo";District;"411";20570
"Uganda";UG;UGA;236;"Oyam";District;"321";48126
"Uganda";UG;UGA;236;"Pader";District;"312";20558
"Uganda";UG;UGA;236;"Pallisa";District;"210";20541
"Uganda";UG;UGA;236;"Rakai";District;"110";20528
"Uganda";UG;UGA;236;"Rukungiri";District;"412";20571
"Uganda";UG;UGA;236;"Sembabule";District;"111";20529
"Uganda";UG;UGA;236;"Sironko";District;"215";20546
"Uganda";UG;UGA;236;"Soroti";District;"211";20542
"Uganda";UG;UGA;236;"Tororo";District;"212";20543
"Uganda";UG;UGA;236;"Wakiso";District;"113";20531
"Uganda";UG;UGA;236;"Western";geographic regions;"W";48544
"Uganda";UG;UGA;236;"Yumbe";District;"313";20559
