COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Bolivarian Republic of Venezuela";VE;VEN;245;"Amazonas";state;"Z";18735
"Bolivarian Republic of Venezuela";VE;VEN;245;"Anzoátegui";state;"B";18745
"Bolivarian Republic of Venezuela";VE;VEN;245;"Apure";state;"C";18746
"Bolivarian Republic of Venezuela";VE;VEN;245;"Aragua";state;"D";18736
"Bolivarian Republic of Venezuela";VE;VEN;245;"Barinas";state;"E";18747
"Bolivarian Republic of Venezuela";VE;VEN;245;"Bolívar";state;"F";18737
"Bolivarian Republic of Venezuela";VE;VEN;245;"Carabobo";state;"G";18748
"Bolivarian Republic of Venezuela";VE;VEN;245;"Cojedes";state;"H";18749
"Bolivarian Republic of Venezuela";VE;VEN;245;"Delta Amacuro";state;"Y";18738
"Bolivarian Republic of Venezuela";VE;VEN;245;"Dependencias Federales";federal dependency;"W";18750
"Bolivarian Republic of Venezuela";VE;VEN;245;"Distrito Federal";federal district;"A";18739
"Bolivarian Republic of Venezuela";VE;VEN;245;"Falcón";state;"I";18751
"Bolivarian Republic of Venezuela";VE;VEN;245;"Guárico";state;"J";18740
"Bolivarian Republic of Venezuela";VE;VEN;245;"Lara";state;"K";18741
"Bolivarian Republic of Venezuela";VE;VEN;245;"Miranda";state;"M";18743
"Bolivarian Republic of Venezuela";VE;VEN;245;"Monagas";state;"N";18744
"Bolivarian Republic of Venezuela";VE;VEN;245;"Mérida";state;"L";18742
"Bolivarian Republic of Venezuela";VE;VEN;245;"Nueva Esparta";state;"O";18734
"Bolivarian Republic of Venezuela";VE;VEN;245;"Portuguesa";state;"P";18752
"Bolivarian Republic of Venezuela";VE;VEN;245;"Sucre";state;"R";18733
"Bolivarian Republic of Venezuela";VE;VEN;245;"Trujillo";state;"T";20682
"Bolivarian Republic of Venezuela";VE;VEN;245;"Táchira";state;"S";20681
"Bolivarian Republic of Venezuela";VE;VEN;245;"Vargas";state;"X";20683
"Bolivarian Republic of Venezuela";VE;VEN;245;"Yaracuy";state;"U";20680
"Bolivarian Republic of Venezuela";VE;VEN;245;"Zulia";state;"V";20684
