COUNTRY NAME; COUNTRY SHORT CODE; COUNTRY LONG CODE; COUNTRY NUMBER CODE; REGION NAME; REGION TYPE; REGIONAL CODE; REGIONAL NUMBER CODE
"Viet Nam";VN;VNM;247;"An Giang";Province;"44";18753
"Viet Nam";VN;VNM;247;"Ba Ria-Vung Tau";Province;"43";18756
"Viet Nam";VN;VNM;247;"Bac Can";Province;"53";18755
"Viet Nam";VN;VNM;247;"Bac Giang";Province;"54";18754
"Viet Nam";VN;VNM;247;"Bac Lieu";Province;"55";18732
"Viet Nam";VN;VNM;247;"Bac Ninh";Province;"56";20625
"Viet Nam";VN;VNM;247;"Ben Tre";Province;"50";20622
"Viet Nam";VN;VNM;247;"Binh Dinh";Province;"31";20607
"Viet Nam";VN;VNM;247;"Binh Duong";Province;"57";20626
"Viet Nam";VN;VNM;247;"Binh Phuoc";Province;"58";20627
"Viet Nam";VN;VNM;247;"Binh Thuan";Province;"40";20615
"Viet Nam";VN;VNM;247;"Ca Mau";Province;"59";20628
"Viet Nam";VN;VNM;247;"Can Tho";municipality;"CT";48708
"Viet Nam";VN;VNM;247;"Can Tho";Province;"48";20620
"Viet Nam";VN;VNM;247;"Cao Bang";Province;"04";20587
"Viet Nam";VN;VNM;247;"Da Nang";municipality;"DN";48892
"Viet Nam";VN;VNM;247;"thanh pho Da Nang";Province;"60";20629
"Viet Nam";VN;VNM;247;"Dac Lac";Province;"33";20609
"Viet Nam";VN;VNM;247;"Dak Nong";Province;"72";20640
"Viet Nam";VN;VNM;247;"Dien Bien";Province;"71";20639
"Viet Nam";VN;VNM;247;"Dong Nai";Province;"39";20614
"Viet Nam";VN;VNM;247;"Dong Thap";Province;"45";20617
"Viet Nam";VN;VNM;247;"Gia Lai";Province;"30";20606
"Viet Nam";VN;VNM;247;"Ha Giang";Province;"03";20586
"Viet Nam";VN;VNM;247;"Ha Nam";Province;"63";20632
"Viet Nam";VN;VNM;247;"Ha Noi";municipality;"HN";48893
"Viet Nam";VN;VNM;247;"thu do Ha Noi";Province;"64";20633
"Viet Nam";VN;VNM;247;"Ha Tay";Province;"15";20594
"Viet Nam";VN;VNM;247;"Ha Tinh";Province;"23";20599
"Viet Nam";VN;VNM;247;"Hai Duong";Province;"61";20630
"Viet Nam";VN;VNM;247;"Hai Phong";municipality;"HP";48894
"Viet Nam";VN;VNM;247;"thanh pho Hai Phong";Province;"62";20631
"Viet Nam";VN;VNM;247;"Hau Giang";Province;"73";20641
"Viet Nam";VN;VNM;247;"Ho Chi Minh [Sai Gon]";municipality;"SG";48895
"Viet Nam";VN;VNM;247;"thanh pho [Sai Gon] Ho Chi Minh";Province;"65";20634
"Viet Nam";VN;VNM;247;"Hoa Binh";Province;"14";20593
"Viet Nam";VN;VNM;247;"Hung Yen";Province;"66";20635
"Viet Nam";VN;VNM;247;"Khanh Hoa";Province;"34";20610
"Viet Nam";VN;VNM;247;"Kien Giang";Province;"47";20619
"Viet Nam";VN;VNM;247;"Kon Tum";Province;"28";20604
"Viet Nam";VN;VNM;247;"Lai Chau";Province;"01";20584
"Viet Nam";VN;VNM;247;"Lam Dong";Province;"35";20611
"Viet Nam";VN;VNM;247;"Lang Son";Province;"09";20591
"Viet Nam";VN;VNM;247;"Lao Cai";Province;"02";20585
"Viet Nam";VN;VNM;247;"Long An";Province;"41";20616
"Viet Nam";VN;VNM;247;"Nam Dinh";Province;"67";20636
"Viet Nam";VN;VNM;247;"Nghe An";Province;"22";20598
"Viet Nam";VN;VNM;247;"Ninh Binh";Province;"18";20595
"Viet Nam";VN;VNM;247;"Ninh Thuan";Province;"36";20612
"Viet Nam";VN;VNM;247;"Phu Tho";Province;"68";20637
"Viet Nam";VN;VNM;247;"Phu Yen";Province;"32";20608
"Viet Nam";VN;VNM;247;"Quang Binh";Province;"24";20600
"Viet Nam";VN;VNM;247;"Quang Nam";Province;"27";20603
"Viet Nam";VN;VNM;247;"Quang Ngai";Province;"29";20605
"Viet Nam";VN;VNM;247;"Quang Ninh";Province;"13";20592
"Viet Nam";VN;VNM;247;"Quang Tri";Province;"25";20601
"Viet Nam";VN;VNM;247;"Soc Trang";Province;"52";20624
"Viet Nam";VN;VNM;247;"Son La";Province;"05";20588
"Viet Nam";VN;VNM;247;"Tay Ninh";Province;"37";20613
"Viet Nam";VN;VNM;247;"Thai Binh";Province;"20";20596
"Viet Nam";VN;VNM;247;"Thai Nguyen";Province;"69";18763
"Viet Nam";VN;VNM;247;"Thanh Hoa";Province;"21";20597
"Viet Nam";VN;VNM;247;"Thua Thien-Hue";Province;"26";20602
"Viet Nam";VN;VNM;247;"Tien Giang";Province;"46";20618
"Viet Nam";VN;VNM;247;"Tra Vinh";Province;"51";20623
"Viet Nam";VN;VNM;247;"Tuyen Quang";Province;"07";20590
"Viet Nam";VN;VNM;247;"Vinh Long";Province;"49";20621
"Viet Nam";VN;VNM;247;"Vinh Phuc";Province;"70";20638
"Viet Nam";VN;VNM;247;"Yen Bai";Province;"06";20589
